/BIC/S2REPPER,/BIC/S2COMPANY,/BIC/S2QRT2,/BIC/S2COLUMN,/BIC/S2ROW,FISCVARNT,RECORDMODE,/BIC/S2FIGURE,Column1
66,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0630           ,K4, ,0
67,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0640           ,K4, ,0
68,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0650           ,K4, ,126199060.2
69,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0660           ,K4, ,0
70,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0670           ,K4, ,122229475.8
71,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0680           ,K4, ,3969584.4
72,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0690           ,K4, ,446545.2
73,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0700           ,K4, ,0
74,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0710           ,K4, ,442756.8
75,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0720           ,K4, ,3788.4
76,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0740           ,K4, ,0
77,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0750           ,K4, ,0
78,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0760           ,K4, ,0
79,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0770           ,K4, ,70202959.2
80,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0780           ,K4, ,0
81,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0790           ,K4, ,0
82,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0800           ,K4, ,0
83,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0810           ,K4, ,4297742.4
84,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0820           ,K4, ,11641690.2
85,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0830           ,K4, ,31116152.4
86,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0840           ,K4, ,15186282.6
87,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0850           ,K4, ,21989070
88,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0860           ,K4, ,0
89,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0870           ,K4, ,21989070
90,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0880           ,K4, ,11922955.2
91,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0900           ,K4, ,651331429.8
92,2015016,DUMMY5,S.02.01.02      ,C0010           ,R1000           ,K4, ,95560765.2
93,2015016,DUMMY5,S.02.01.02      ,EC0021          ,ER0811          ,K4, ,0
94,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0070           ,K4, ,0
95,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0090           ,K4, ,0
96,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0100           ,K4, ,0
97,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0130           ,K4, ,0
98,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0230           ,K4, ,0
99,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0500           ,K4, ,0
100,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0800           ,K4, ,0
101,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0810           ,K4, ,0
102,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0850           ,K4, ,0
103,2015016,DUMMY5,S.02.01.02      ,EC0021          ,R0900           ,K4, ,0
104,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0801          ,K4, ,0
105,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0802          ,K4, ,0
106,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0803          ,K4, ,0
107,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0811          ,K4, ,0
108,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0812          ,K4, ,0
109,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0813          ,K4, ,0
110,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0814          ,K4, ,0
111,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,ER0815          ,K4, ,4297742.4
112,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,GAR0010         ,K4, ,0
113,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,GAR0020         ,K4, ,0
114,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,GAR0030         ,K4, ,0
115,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,GAR0040         ,K4, ,4110399.6
116,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,GAR0050         ,K4, ,161507331
117,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0010           ,K4, ,0
118,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0020           ,K4, ,55333243.8
119,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0030           ,K4, ,10166098.2
120,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0040           ,K4, ,0
121,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0050           ,K4, ,0
122,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0060           ,K4, ,85933608
123,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0070           ,K4, ,423878677.8
124,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0080           ,K4, ,0
125,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0090           ,K4, ,4110399.6
126,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0100           ,K4, ,0
127,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0130           ,K4, ,384330885.6
128,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0180           ,K4, ,0
129,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0190           ,K4, ,0
130,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0200           ,K4, ,0
131,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0210           ,K4, ,35437392.6
132,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0220           ,K4, ,448245.6
133,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0230           ,K4, ,138115.2
134,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0270           ,K4, ,108156577.2
135,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0280           ,K4, ,107800233
136,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0310           ,K4, ,356344.2
137,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0340           ,K4, ,0
138,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0350           ,K4, ,0
139,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0360           ,K4, ,95187363
140,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0370           ,K4, ,4652441.4
141,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0380           ,K4, ,24495864.6
142,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0390           ,K4, ,0
143,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0400           ,K4, ,0
144,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0410           ,K4, ,75985117.2
145,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0420           ,K4, ,13826239.8
146,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0500           ,K4, ,898201591.8
147,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0510           ,K4, ,406423977
148,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0600           ,K4, ,144126505.2
149,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0690           ,K4, ,365938.2
150,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0730           ,K4, ,7703923.2
151,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0750           ,K4, ,0
152,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0760           ,K4, ,0
153,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0770           ,K4, ,81140621.4
154,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0780           ,K4, ,0
155,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0790           ,K4, ,0
156,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0800           ,K4, ,0
157,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0810           ,K4, ,4297742.4
158,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0820           ,K4, ,23358756
159,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0830           ,K4, ,20178490.2
160,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0840           ,K4, ,15186282.6
161,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0850           ,K4, ,21989070
162,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0880           ,K4, ,11922955.2
163,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R0900           ,K4, ,736694261.4
164,2015016,DUMMY5,S.02.01.02      ,GAC0010         ,R1000           ,K4, ,161507330.4
165,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0801          ,K4, ,0
166,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0802          ,K4, ,0
167,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0803          ,K4, ,0
168,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0811          ,K4, ,0
169,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0812          ,K4, ,0
170,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0813          ,K4, ,0
171,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0814          ,K4, ,0
172,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,ER0815          ,K4, ,0
173,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,GAR0010         ,K4, ,0
174,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,GAR0020         ,K4, ,0
175,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,GAR0030         ,K4, ,0
176,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,GAR0040         ,K4, ,0
177,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0010           ,K4, ,0
178,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0020           ,K4, ,-55333243.8
179,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0030           ,K4, ,-10166098.2
180,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0040           ,K4, ,7599244.8
181,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0050           ,K4, ,0
182,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0060           ,K4, ,0
183,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0070           ,K4, ,2968809
184,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0080           ,K4, ,0
185,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0090           ,K4, ,0
186,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0100           ,K4, ,0
187,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0130           ,K4, ,2968809
188,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0180           ,K4, ,0
189,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0190           ,K4, ,0
190,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0200           ,K4, ,0
191,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0210           ,K4, ,0
192,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0220           ,K4, ,0
193,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0230           ,K4, ,0
194,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0270           ,K4, ,-22394760
195,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0280           ,K4, ,-22533322.8
196,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0290           ,K4, ,85114582.8
197,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0300           ,K4, ,152327.4
198,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0310           ,K4, ,138562.8
199,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0320           ,K4, ,0
200,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0330           ,K4, ,494907
201,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0340           ,K4, ,0
202,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0350           ,K4, ,0
203,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0360           ,K4, ,-73983348.6
204,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0370           ,K4, ,0
205,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0380           ,K4, ,0
206,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0390           ,K4, ,0
207,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0400           ,K4, ,0
208,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0410           ,K4, ,0
209,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0420           ,K4, ,0
210,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0500           ,K4, ,-151309396.8
211,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0510           ,K4, ,48095004.6
212,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0520           ,K4, ,-356924038.8
213,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0560           ,K4, ,-1404933.6
214,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0600           ,K4, ,17927445
215,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0610           ,K4, ,0
216,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0650           ,K4, ,-126199060.2
217,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0690           ,K4, ,-80607
218,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0730           ,K4, ,7703923.2
219,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0740           ,K4, ,0
220,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0750           ,K4, ,0
221,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0760           ,K4, ,0
222,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0770           ,K4, ,10937662.2
223,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0780           ,K4, ,0
224,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0790           ,K4, ,0
225,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0800           ,K4, ,0
226,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0810           ,K4, ,0
227,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0820           ,K4, ,11717065.8
228,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0830           ,K4, ,-10937662.2
229,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0840           ,K4, ,0
230,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0850           ,K4, ,0
231,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0880           ,K4, ,0
232,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R0900           ,K4, ,85362831.6
233,2015016,DUMMY5,S.02.01.02      ,GAC0020         ,R1000           ,K4, ,65946565.2
234,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0801          ,K4, ,0
235,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0802          ,K4, ,0
236,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0803          ,K4, ,0
237,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0811          ,K4, ,0
238,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0812          ,K4, ,0
239,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0813          ,K4, ,0
240,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0814          ,K4, ,0
241,2016003,DUMMY5,S.02.01.02      ,C0010           ,ER0815          ,K4, ,5238830.4
242,2016003,DUMMY5,S.02.01.02      ,C0010           ,GAR0010         ,K4, ,0
243,2016003,DUMMY5,S.02.01.02      ,C0010           ,GAR0020         ,K4, ,0
244,2016003,DUMMY5,S.02.01.02      ,C0010           ,GAR0030         ,K4, ,0
245,2016003,DUMMY5,S.02.01.02      ,C0010           ,GAR0040         ,K4, ,4110399.6
246,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0030           ,K4, ,0
247,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0040           ,K4, ,6492509.4
248,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0050           ,K4, ,0
249,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0060           ,K4, ,85098421.2
250,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0070           ,K4, ,557194996.8
251,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0080           ,K4, ,0
252,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0090           ,K4, ,4110399.6
253,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0100           ,K4, ,0
254,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0110           ,K4, ,0
255,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0120           ,K4, ,0
256,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0130           ,K4, ,528480772.8
257,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0140           ,K4, ,528480772.8
258,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0150           ,K4, ,0
259,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0160           ,K4, ,0
260,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0170           ,K4, ,0
261,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0180           ,K4, ,0
262,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0190           ,K4, ,0
263,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0200           ,K4, ,0
264,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0210           ,K4, ,24603824.4
265,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0220           ,K4, ,13838152.2
266,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0230           ,K4, ,138115.2
267,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0260           ,K4, ,138115.2
268,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0270           ,K4, ,96586584.65
269,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0280           ,K4, ,96254220.65
270,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0290           ,K4, ,96122846.83
271,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0300           ,K4, ,131373.828
272,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0310           ,K4, ,332364
273,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0320           ,K4, ,0
274,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0330           ,K4, ,332364
275,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0340           ,K4, ,0
276,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0350           ,K4, ,0
277,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0360           ,K4, ,40560244.8
278,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0370           ,K4, ,4305238.2
279,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0380           ,K4, ,24783203.4
280,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0390           ,K4, ,0
281,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0400           ,K4, ,0
282,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0410           ,K4, ,9601528.8
283,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0420           ,K4, ,13547522.4
284,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0500           ,K4, ,852146517.1
285,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0510           ,K4, ,460596882.5
286,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0520           ,K4, ,459261173.6
287,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0530           ,K4, ,0
288,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0540           ,K4, ,445556250.5
289,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0550           ,K4, ,13704923.11
290,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0560           ,K4, ,1335708.822
291,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0570           ,K4, ,0
292,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0580           ,K4, ,1290017.478
293,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0590           ,K4, ,45691.344
294,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0600           ,K4, ,132868012.8
295,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0610           ,K4, ,0
296,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0650           ,K4, ,132868012.8
297,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0670           ,K4, ,128376071.4
298,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0680           ,K4, ,4491941.4
299,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0690           ,K4, ,445218
300,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0700           ,K4, ,0
301,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0710           ,K4, ,441402
302,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0720           ,K4, ,3816
303,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0740           ,K4, ,0
304,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0750           ,K4, ,0
305,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0760           ,K4, ,0
306,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0770           ,K4, ,78065365.2
307,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0780           ,K4, ,0
308,2016003,DUMMY5,S.02.01.02      ,C0010           ,R0790           ,K4, ,0
